product_category_name_english,avg_score,review_count,pct_negative,pct_positive
agro_industry_and_commerce,4.11,177,12.43,80.23
air_conditioning,4.13,241,13.69,78.42
art,4.13,189,13.23,77.25
audio,3.84,342,21.64,68.71
auto,4.15,3790,12.85,79.5
baby,4.12,2749,13.71,77.59
bed_bath_table,4.01,9187,15.79,74.31
books_general_interest,4.54,489,6.13,90.39
books_technical,4.43,256,9.38,87.11
christmas_supplies,4.11,123,11.38,79.67
computers,4.24,173,10.98,83.24
computers_accessories,4.08,6520,14.49,77.32
consoles_games,4.18,1006,10.93,78.53
construction_tools_construction,4.13,724,13.12,78.18
construction_tools_lights,4.22,229,8.73,79.48
construction_tools_safety,4.02,153,15.69,76.47
cool_stuff,4.23,3510,11.0,81.03
costruction_tools_garden,4.29,185,11.35,83.24
drinks,4.26,285,9.47,83.16
electronics,4.13,2489,13.06,79.03
fashion_bags_accessories,4.24,1818,10.12,81.57
fashion_male_clothing,3.82,105,22.86,70.48
fashion_shoes,4.28,232,10.78,81.47
fashion_underwear_beach,4.01,116,16.38,76.72
fixed_telephony,3.97,210,16.67,74.76
food,4.32,431,10.21,84.92
food_drink,4.45,220,4.09,85.45
furniture_decor,4.07,6222,15.03,76.12
furniture_living_room,4.09,407,13.51,76.41
garden_tools,4.19,3405,11.92,80.12
health_beauty,4.24,8615,11.26,81.06
home_appliances,4.22,782,10.74,81.07
home_appliances_2,4.16,227,12.33,80.62
home_confort,3.91,371,18.06,68.46
home_construction,4.06,465,15.27,76.99
housewares,4.21,5676,11.54,80.0
industry_commerce_and_business,4.24,228,10.09,81.58
kitchen_dining_laundry_garden_furniture,4.14,237,10.97,78.06
luggage_accessories,4.38,1004,7.87,85.26
market_place,4.12,266,11.65,77.82
musical_instruments,4.25,601,11.31,82.2
office_furniture,3.65,1241,21.92,63.82
perfumery,4.26,3076,11.7,81.5
pet_shop,4.28,1676,10.44,82.4
signaling_and_security,4.12,137,11.68,76.64
small_appliances,4.27,605,11.24,82.98
sports_leisure,4.23,7497,11.22,81.54
stationery,4.3,2241,9.82,83.67
telephony,4.06,4056,14.0,75.99
toys,4.24,3757,11.31,81.13
watches_gifts,4.13,5442,13.52,77.84
